         360235 function calls (349072 primitive calls) in 0.116 seconds

   Ordered by: cumulative time
   List reduced from 252 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.116    0.116 project_dependencies.py:21(assemble_dependencies)
        1    0.005    0.005    0.116    0.116 project_dependencies.py:29(_assemble_dependencies)
       94    0.004    0.000    0.034    0.000 ast.py:34(parse)
       94    0.030    0.000    0.030    0.000 {built-in method builtins.compile}
       93    0.000    0.000    0.019    0.000 project_dependencies.py:356(dependency_imports)
  6156/93    0.007    0.000    0.019    0.000 project_dependencies.py:360(visit)
      276    0.001    0.000    0.017    0.000 pathlib.py:663(relative_to)
       32    0.000    0.000    0.014    0.000 project_dependencies.py:110(requirements)
        1    0.000    0.000    0.012    0.012 project_dependencies.py:234(dependency_files)
     5918    0.003    0.000    0.012    0.000 pathlib.py:380(with_segments)
     4383    0.001    0.000    0.011    0.000 pathlib.py:551(drive)
     5053    0.002    0.000    0.011    0.000 pathlib.py:437(__str__)
     2309    0.001    0.000    0.010    0.000 pathlib.py:407(_load_parts)
     3728    0.001    0.000    0.010    0.000 pathlib.py:420(_from_parsed_parts)
     2942    0.001    0.000    0.010    0.000 <frozen _collections_abc>:1022(__iter__)
      359    0.000    0.000    0.009    0.000 pathlib.py:690(is_relative_to)
     2584    0.001    0.000    0.009    0.000 pathlib.py:276(__getitem__)
    18042    0.004    0.000    0.009    0.000 ast.py:269(iter_child_nodes)
     6216    0.002    0.000    0.008    0.000 pathlib.py:1159(__init__)
     1040    0.000    0.000    0.008    0.000 pathlib.py:837(stat)
     1040    0.001    0.000    0.008    0.000 {built-in method posix.stat}
     1229    0.000    0.000    0.007    0.000 pathlib.py:447(__fspath__)
     2309    0.003    0.000    0.006    0.000 pathlib.py:387(_parse_path)
     1420    0.001    0.000    0.006    0.000 pathlib.py:731(parent)
     6216    0.004    0.000    0.006    0.000 pathlib.py:357(__init__)
      627    0.000    0.000    0.006    0.000 {built-in method builtins.sorted}
    89574    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
       33    0.000    0.000    0.006    0.000 project_dependencies.py:46(<genexpr>)
      358    0.000    0.000    0.005    0.000 <frozen _collections_abc>:1032(__contains__)
     2745    0.001    0.000    0.004    0.000 pathlib.py:519(__eq__)
     6440    0.002    0.000    0.004    0.000 pathlib.py:484(_str_normcase)
      393    0.000    0.000    0.004    0.000 pathlib.py:888(is_file)
       54    0.000    0.000    0.004    0.000 project_analysis.py:30(owns)
       96    0.000    0.000    0.004    0.000 pathlib.py:1230(resolve)
      341    0.000    0.000    0.004    0.000 pathlib.py:872(is_dir)
     2439    0.002    0.000    0.003    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.003    0.003 text_index.py:379(_walk_rel_files)
      975    0.000    0.000    0.003    0.000 pathlib.py:719(__truediv__)
    19676    0.002    0.000    0.003    0.000 ast.py:257(iter_fields)
       96    0.000    0.000    0.003    0.000 <frozen posixpath>:428(realpath)
  300/279    0.000    0.000    0.003    0.000 {built-in method builtins.any}
      975    0.000    0.000    0.003    0.000 pathlib.py:711(joinpath)
      208    0.000    0.000    0.002    0.000 pathlib.py:780(match)
      146    0.000    0.000    0.002    0.000 project_dependencies.py:190(<genexpr>)
     5688    0.001    0.000    0.002    0.000 pathlib.py:429(_format_parsed_parts)


