         1352775 function calls (1302837 primitive calls) in 0.535 seconds

   Ordered by: cumulative time
   List reduced from 280 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.017    0.008    0.535    0.535 project_dependencies.py:21(assemble_dependencies)
      361    0.043    0.000    0.256    0.001 ast.py:34(parse)
        1    0.012    0.012    0.220    0.220 project_dependencies.py:29(_assemble_dependencies)
      361    0.219    0.001    0.219    0.001 {built-in method builtins.compile}
      361    0.000    0.000    0.125    0.000 project_dependencies.py:356(dependency_imports)
40018/361    0.045    0.000    0.125    0.000 project_dependencies.py:360(visit)
   126384    0.031    0.000    0.061    0.000 ast.py:269(iter_child_nodes)
      519    0.002    0.000    0.035    0.000 pathlib.py:663(relative_to)
   496071    0.030    0.000    0.030    0.000 {built-in method builtins.isinstance}
    12710    0.006    0.000    0.026    0.000 pathlib.py:380(with_segments)
     8932    0.003    0.000    0.024    0.000 pathlib.py:420(_from_parsed_parts)
        1    0.001    0.001    0.021    0.021 project_dependencies.py:234(dependency_files)
     9495    0.002    0.000    0.020    0.000 pathlib.py:551(drive)
   140673    0.013    0.000    0.020    0.000 ast.py:257(iter_fields)
     5789    0.001    0.000    0.019    0.000 <frozen _collections_abc>:1022(__iter__)
      603    0.001    0.000    0.018    0.000 pathlib.py:690(is_relative_to)
    12595    0.004    0.000    0.018    0.000 pathlib.py:437(__str__)
     3863    0.003    0.000    0.018    0.000 pathlib.py:407(_load_parts)
     5187    0.003    0.000    0.018    0.000 pathlib.py:276(__getitem__)
     4264    0.002    0.000    0.018    0.000 pathlib.py:731(parent)
    13002    0.004    0.000    0.017    0.000 pathlib.py:1159(__init__)
1709/1697    0.000    0.000    0.014    0.000 pathlib.py:837(stat)
1709/1697    0.003    0.000    0.014    0.000 {built-in method posix.stat}
    13002    0.008    0.000    0.013    0.000 pathlib.py:357(__init__)
      602    0.001    0.000    0.012    0.000 <frozen _collections_abc>:1032(__contains__)
     3863    0.006    0.000    0.011    0.000 pathlib.py:387(_parse_path)
     2096    0.001    0.000    0.011    0.000 pathlib.py:447(__fspath__)
        8    0.000    0.000    0.011    0.001 project_dependencies.py:110(requirements)
      361    0.001    0.000    0.011    0.000 tokenize.py:445(open)
     8623    0.003    0.000    0.010    0.000 pathlib.py:519(__eq__)
    20500    0.005    0.000    0.009    0.000 pathlib.py:484(_str_normcase)
 1058/837    0.000    0.000    0.007    0.000 {built-in method builtins.any}
      596    0.000    0.000    0.007    0.000 pathlib.py:872(is_dir)
      664    0.000    0.000    0.007    0.000 pathlib.py:888(is_file)
     2756    0.001    0.000    0.006    0.000 {built-in method builtins.sorted}
   105669    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.006    0.006 text_index.py:379(_walk_rel_files)
        9    0.000    0.000    0.006    0.001 project_dependencies.py:46(<genexpr>)
     8028    0.002    0.000    0.005    0.000 pathlib.py:524(__hash__)
       66    0.000    0.000    0.005    0.000 project_analysis.py:30(owns)
        1    0.000    0.000    0.005    0.005 file_meta.py:231(_stat_sig)
     3305    0.003    0.000    0.005    0.000 <frozen posixpath>:71(join)
     1690    0.000    0.000    0.005    0.000 pathlib.py:719(__truediv__)
    12194    0.003    0.000    0.005    0.000 pathlib.py:429(_format_parsed_parts)
      421    0.000    0.000    0.005    0.000 pathlib.py:780(match)


