         1595495 function calls (1540388 primitive calls) in 0.655 seconds

   Ordered by: cumulative time
   List reduced from 305 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.024    0.012    0.655    0.655 project_dependencies.py:21(assemble_dependencies)
      567    0.050    0.000    0.304    0.001 ast.py:34(parse)
      567    0.253    0.000    0.253    0.000 {built-in method builtins.compile}
        1    0.011    0.011    0.180    0.180 project_dependencies.py:29(_assemble_dependencies)
      561    0.000    0.000    0.120    0.000 project_dependencies.py:356(dependency_imports)
39590/561    0.045    0.000    0.120    0.000 project_dependencies.py:360(visit)
      826    0.003    0.000    0.057    0.000 pathlib.py:663(relative_to)
   114744    0.028    0.000    0.056    0.000 ast.py:269(iter_child_nodes)
    20022    0.009    0.000    0.041    0.000 pathlib.py:380(with_segments)
    14142    0.005    0.000    0.038    0.000 pathlib.py:420(_from_parsed_parts)
        1    0.001    0.001    0.036    0.036 project_dependencies.py:234(dependency_files)
    15094    0.004    0.000    0.031    0.000 pathlib.py:551(drive)
     9130    0.002    0.000    0.031    0.000 <frozen _collections_abc>:1022(__iter__)
   493256    0.031    0.000    0.031    0.000 {built-in method builtins.isinstance}
      947    0.001    0.000    0.029    0.000 pathlib.py:690(is_relative_to)
     6784    0.004    0.000    0.029    0.000 pathlib.py:731(parent)
     8184    0.005    0.000    0.029    0.000 pathlib.py:276(__getitem__)
    20626    0.007    0.000    0.028    0.000 pathlib.py:1159(__init__)
     6028    0.004    0.000    0.027    0.000 pathlib.py:407(_load_parts)
    21022    0.006    0.000    0.027    0.000 pathlib.py:437(__str__)
    55/28    0.000    0.000    0.021    0.001 project_dependencies.py:110(requirements)
    20626    0.014    0.000    0.021    0.000 pathlib.py:357(__init__)
     2435    0.001    0.000    0.018    0.000 pathlib.py:837(stat)
   123368    0.013    0.000    0.018    0.000 ast.py:257(iter_fields)
      946    0.002    0.000    0.018    0.000 <frozen _collections_abc>:1032(__contains__)
     2435    0.004    0.000    0.018    0.000 {built-in method posix.stat}
     6028    0.009    0.000    0.018    0.000 pathlib.py:387(_parse_path)
    15717    0.005    0.000    0.016    0.000 pathlib.py:519(__eq__)
     3109    0.001    0.000    0.015    0.000 pathlib.py:447(__fspath__)
    37211    0.008    0.000    0.015    0.000 pathlib.py:484(_str_normcase)
     4876    0.001    0.000    0.014    0.000 {built-in method builtins.sorted}
       29    0.000    0.000    0.013    0.000 project_dependencies.py:46(<genexpr>)
        1    0.001    0.001    0.010    0.010 text_index.py:379(_walk_rel_files)
      561    0.002    0.000    0.009    0.000 tokenize.py:445(open)
    13822    0.004    0.000    0.009    0.000 pathlib.py:524(__hash__)
      792    0.001    0.000    0.009    0.000 pathlib.py:780(match)
  931/854    0.000    0.000    0.009    0.000 {built-in method builtins.any}
     5655    0.005    0.000    0.008    0.000 <frozen posixpath>:71(join)
      721    0.000    0.000    0.008    0.000 pathlib.py:872(is_dir)
      807    0.000    0.000    0.008    0.000 pathlib.py:888(is_file)
    19211    0.005    0.000    0.008    0.000 pathlib.py:429(_format_parsed_parts)
       89    0.000    0.000    0.007    0.000 project_analysis.py:30(owns)
     2376    0.001    0.000    0.007    0.000 pathlib.py:719(__truediv__)
      320    0.000    0.000    0.007    0.000 project_dependencies.py:190(<genexpr>)
      792    0.001    0.000    0.006    0.000 <frozen posixpath>:509(relpath)


