         1398927 function calls (1351640 primitive calls) in 0.589 seconds

   Ordered by: cumulative time
   List reduced from 295 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.000    0.589    0.589 project_dependencies.py:21(assemble_dependencies)
        1    0.030    0.030    0.588    0.588 project_dependencies.py:29(_assemble_dependencies)
      311    0.047    0.000    0.297    0.001 ast.py:34(parse)
      311    0.250    0.001    0.250    0.001 {built-in method builtins.compile}
      254    0.000    0.000    0.119    0.000 project_dependencies.py:356(dependency_imports)
38802/254    0.043    0.000    0.119    0.000 project_dependencies.py:360(visit)
   118032    0.028    0.000    0.055    0.000 ast.py:269(iter_child_nodes)
      426    0.002    0.000    0.029    0.000 pathlib.py:663(relative_to)
   471898    0.029    0.000    0.029    0.000 {built-in method builtins.isinstance}
    13423    0.006    0.000    0.027    0.000 pathlib.py:380(with_segments)
    11479    0.003    0.000    0.026    0.000 pathlib.py:551(drive)
     5077    0.003    0.000    0.023    0.000 pathlib.py:407(_load_parts)
    13692    0.005    0.000    0.023    0.000 pathlib.py:437(__str__)
     8492    0.003    0.000    0.022    0.000 pathlib.py:420(_from_parsed_parts)
     4746    0.003    0.000    0.022    0.000 pathlib.py:731(parent)
2646/2645    0.001    0.000    0.019    0.000 pathlib.py:837(stat)
2646/2645    0.004    0.000    0.019    0.000 {built-in method posix.stat}
    13888    0.005    0.000    0.019    0.000 pathlib.py:1159(__init__)
   129453    0.013    0.000    0.018    0.000 ast.py:257(iter_fields)
     4623    0.001    0.000    0.016    0.000 <frozen _collections_abc>:1022(__iter__)
     2914    0.001    0.000    0.015    0.000 pathlib.py:447(__fspath__)
      452    0.001    0.000    0.015    0.000 pathlib.py:690(is_relative_to)
     5077    0.008    0.000    0.015    0.000 pathlib.py:387(_parse_path)
        1    0.001    0.001    0.014    0.014 project_dependencies.py:234(dependency_files)
     4172    0.002    0.000    0.014    0.000 pathlib.py:276(__getitem__)
1496/1064    0.001    0.000    0.014    0.000 {built-in method builtins.any}
    13888    0.009    0.000    0.014    0.000 pathlib.py:357(__init__)
     2407    0.000    0.000    0.013    0.000 {built-in method builtins.sorted}
        1    0.001    0.001    0.013    0.013 text_index.py:379(_walk_rel_files)
        5    0.000    0.000    0.013    0.003 project_dependencies.py:46(<genexpr>)
      135    0.000    0.000    0.011    0.000 project_analysis.py:30(owns)
      979    0.001    0.000    0.011    0.000 pathlib.py:780(match)
      451    0.001    0.000    0.009    0.000 <frozen _collections_abc>:1032(__contains__)
      890    0.000    0.000    0.009    0.000 pathlib.py:888(is_file)
     9231    0.003    0.000    0.009    0.000 pathlib.py:519(__eq__)
      760    0.000    0.000    0.009    0.000 pathlib.py:872(is_dir)
    21981    0.005    0.000    0.008    0.000 pathlib.py:484(_str_normcase)
      979    0.002    0.000    0.008    0.000 <frozen posixpath>:509(relpath)
     5257    0.005    0.000    0.008    0.000 <frozen posixpath>:71(join)
     2634    0.001    0.000    0.008    0.000 pathlib.py:719(__truediv__)
     1958    0.001    0.000    0.007    0.000 pathlib.py:505(_lines)
     2634    0.001    0.000    0.007    0.000 pathlib.py:711(joinpath)
     4709    0.002    0.000    0.007    0.000 ast.py:369(walk)
     3185    0.001    0.000    0.006    0.000 project_dependencies.py:367(<genexpr>)
    95401    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}


