         874392 function calls (861148 primitive calls) in 0.620 seconds

   Ordered by: cumulative time
   List reduced from 460 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.780    0.195 threading.py:1115(join)
        4    0.000    0.000    0.780    0.195 threading.py:1153(_wait_for_tstate_lock)
    57/41    0.000    0.000    0.780    0.019 {method 'acquire' of '_thread.lock' objects}
        5    0.000    0.000    0.699    0.140 _base.py:612(result_iterator)
       10    0.000    0.000    0.699    0.070 threading.py:323(wait)
        4    0.000    0.000    0.699    0.175 _base.py:314(_result_or_cancel)
        4    0.000    0.000    0.699    0.175 _base.py:428(result)
      2/1    0.001    0.000    0.620    0.620 project_dependencies.py:20(assemble_dependencies)
        1    0.018    0.018    0.619    0.619 project_dependencies.py:28(_assemble_dependencies)
      5/2    0.000    0.000    0.406    0.203 subprocess.py:506(run)
      5/2    0.000    0.000    0.406    0.203 subprocess.py:1165(communicate)
      5/2    0.000    0.000    0.406    0.203 subprocess.py:2062(_communicate)
    39/11    0.000    0.000    0.405    0.037 selectors.py:402(select)
        1    0.000    0.000    0.391    0.391 project_dependencies.py:357(collect_imports)
        1    0.000    0.000    0.390    0.390 _base.py:646(__exit__)
        1    0.000    0.000    0.390    0.390 thread.py:219(shutdown)
      4/1    0.000    0.000    0.390    0.390 threading.py:1016(_bootstrap)
      4/1    0.000    0.000    0.390    0.390 threading.py:1056(_bootstrap_inner)
      4/1    0.000    0.000    0.390    0.390 threading.py:999(run)
      4/1    0.000    0.000    0.390    0.390 thread.py:69(_worker)
      4/1    0.000    0.000    0.390    0.390 {method 'get' of '_queue.SimpleQueue' objects}
      4/1    0.000    0.000    0.389    0.389 thread.py:53(run)
      4/1    0.001    0.000    0.389    0.389 project_dependencies.py:369(parse_batch)
    39/11    0.400    0.010    0.065    0.006 {method 'poll' of 'select.poll' objects}
      770    0.002    0.000    0.042    0.000 pathlib.py:663(relative_to)
    18284    0.004    0.000    0.042    0.000 pathlib.py:551(drive)
    21962    0.009    0.000    0.042    0.000 pathlib.py:380(with_segments)
    25233    0.006    0.000    0.040    0.000 pathlib.py:437(__str__)
    15357    0.005    0.000    0.038    0.000 pathlib.py:420(_from_parsed_parts)
     6708    0.014    0.000    0.038    0.000 pathlib.py:407(_load_parts)
3574/3533    0.001    0.000    0.036    0.000 pathlib.py:837(stat)
3575/3534    0.005    0.000    0.035    0.000 {built-in method posix.stat}
     9381    0.005    0.000    0.034    0.000 pathlib.py:731(parent)
     3639    0.001    0.000    0.031    0.000 pathlib.py:447(__fspath__)
    22742    0.007    0.000    0.029    0.000 pathlib.py:1159(__init__)
      968    0.000    0.000    0.028    0.000 {built-in method builtins.any}
       51    0.000    0.000    0.027    0.001 project_analysis.py:30(owns)
     7690    0.002    0.000    0.024    0.000 <frozen _collections_abc>:1022(__iter__)
       51    0.001    0.000    0.023    0.000 project_analysis.py:108(owning_root)
     6796    0.003    0.000    0.022    0.000 pathlib.py:276(__getitem__)
      895    0.001    0.000    0.022    0.000 pathlib.py:690(is_relative_to)
    22742    0.014    0.000    0.022    0.000 pathlib.py:357(__init__)
     1408    0.001    0.000    0.019    0.000 {built-in method builtins.next}
       50    0.000    0.000    0.018    0.000 project_analysis.py:120(<genexpr>)
        1    0.000    0.000    0.018    0.018 project_dependencies.py:339(interpreter_modules)


