         1689200 function calls (1594559 primitive calls) in 0.362 seconds

   Ordered by: cumulative time
   List reduced from 249 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.004    0.002    0.362    0.362 project_dependencies.py:21(assemble_dependencies)
        1    0.002    0.002    0.119    0.119 project_dependencies.py:29(_assemble_dependencies)
       93    0.000    0.000    0.104    0.001 project_dependencies.py:322(dependency_imports)
 58113/93    0.038    0.000    0.104    0.001 project_dependencies.py:326(visit)
     1568    0.005    0.000    0.093    0.000 pathlib.py:663(relative_to)
1727/1706    0.001    0.000    0.087    0.000 {built-in method builtins.any}
    21667    0.005    0.000    0.068    0.000 <frozen _collections_abc>:1022(__iter__)
    19643    0.010    0.000    0.064    0.000 pathlib.py:276(__getitem__)
   114210    0.028    0.000    0.055    0.000 ast.py:269(iter_child_nodes)
      581    0.003    0.000    0.051    0.000 project_dependencies.py:46(<genexpr>)
    19090    0.008    0.000    0.050    0.000 pathlib.py:437(__str__)
    25550    0.011    0.000    0.050    0.000 pathlib.py:380(with_segments)
    15301    0.006    0.000    0.048    0.000 pathlib.py:551(drive)
     3064    0.003    0.000    0.048    0.000 <frozen _collections_abc>:1032(__contains__)
    17451    0.006    0.000    0.043    0.000 pathlib.py:420(_from_parsed_parts)
     1651    0.002    0.000    0.043    0.000 pathlib.py:690(is_relative_to)
    11197    0.006    0.000    0.042    0.000 pathlib.py:407(_load_parts)
    31491    0.010    0.000    0.040    0.000 pathlib.py:1159(__init__)
       94    0.004    0.000    0.037    0.000 ast.py:34(parse)
    10670    0.004    0.000    0.036    0.000 pathlib.py:519(__eq__)
     1783    0.002    0.000    0.035    0.000 project_dependencies.py:186(<genexpr>)
       94    0.033    0.000    0.033    0.000 {built-in method builtins.compile}
    21404    0.009    0.000    0.032    0.000 pathlib.py:484(_str_normcase)
    31491    0.019    0.000    0.029    0.000 pathlib.py:357(__init__)
    11197    0.015    0.000    0.028    0.000 pathlib.py:387(_parse_path)
   459947    0.028    0.000    0.028    0.000 {built-in method builtins.isinstance}
     2865    0.001    0.000    0.024    0.000 pathlib.py:837(stat)
     2865    0.003    0.000    0.024    0.000 {built-in method posix.stat}
     3054    0.001    0.000    0.021    0.000 pathlib.py:447(__fspath__)
   150891    0.014    0.000    0.019    0.000 ast.py:257(iter_fields)
      208    0.000    0.000    0.015    0.000 project_analysis.py:30(owns)
     1566    0.001    0.000    0.014    0.000 pathlib.py:888(is_file)
       32    0.000    0.000    0.014    0.000 project_dependencies.py:113(requirements)
99762/63292    0.008    0.000    0.012    0.000 {built-in method builtins.len}
     1201    0.001    0.000    0.011    0.000 pathlib.py:872(is_dir)
     4840    0.001    0.000    0.009    0.000 pathlib.py:741(parents)
    26246    0.005    0.000    0.009    0.000 pathlib.py:429(_format_parsed_parts)
     3008    0.001    0.000    0.008    0.000 pathlib.py:719(__truediv__)
     4840    0.002    0.000    0.008    0.000 pathlib.py:267(__init__)
     5776    0.005    0.000    0.008    0.000 <frozen posixpath>:71(join)
     3008    0.001    0.000    0.008    0.000 pathlib.py:711(joinpath)
    31491    0.005    0.000    0.008    0.000 pathlib.py:1166(__new__)
      627    0.000    0.000    0.006    0.000 {built-in method builtins.sorted}
    38038    0.004    0.000    0.006    0.000 pathlib.py:273(__len__)
    96558    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}


