         9249499 function calls (8687631 primitive calls) in 1.917 seconds

   Ordered by: cumulative time
   List reduced from 292 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.000    1.917    1.917 project_dependencies.py:21(assemble_dependencies)
        1    0.036    0.036    1.680    1.680 project_dependencies.py:29(_assemble_dependencies)
      361    0.000    0.000    0.750    0.002 project_dependencies.py:322(dependency_imports)
421588/361    0.267    0.000    0.750    0.002 project_dependencies.py:326(visit)
   835740    0.202    0.000    0.403    0.000 ast.py:269(iter_child_nodes)
     5894    0.018    0.000    0.379    0.000 pathlib.py:663(relative_to)
7916/7695    0.004    0.000    0.336    0.000 {built-in method builtins.any}
      361    0.041    0.000    0.278    0.001 ast.py:34(parse)
    81714    0.017    0.000    0.265    0.000 <frozen _collections_abc>:1022(__iter__)
    74574    0.038    0.000    0.248    0.000 pathlib.py:276(__getitem__)
      361    0.237    0.001    0.237    0.001 {built-in method builtins.compile}
   103658    0.044    0.000    0.207    0.000 pathlib.py:380(with_segments)
    73297    0.031    0.000    0.204    0.000 pathlib.py:437(__str__)
    56248    0.022    0.000    0.198    0.000 pathlib.py:551(drive)
     5978    0.006    0.000    0.182    0.000 pathlib.py:690(is_relative_to)
     9245    0.012    0.000    0.177    0.000 <frozen _collections_abc>:1032(__contains__)
    42117    0.024    0.000    0.176    0.000 pathlib.py:407(_load_parts)
    68935    0.024    0.000    0.173    0.000 pathlib.py:420(_from_parsed_parts)
  2996346    0.171    0.000    0.171    0.000 {built-in method builtins.isinstance}
   121752    0.040    0.000    0.160    0.000 pathlib.py:1159(__init__)
     7101    0.010    0.000    0.145    0.000 project_dependencies.py:186(<genexpr>)
      421    0.001    0.000    0.141    0.000 project_analysis.py:30(owns)
  1115936    0.101    0.000    0.140    0.000 ast.py:257(iter_fields)
16532/16531    0.004    0.000    0.140    0.000 pathlib.py:837(stat)
16532/16531    0.020    0.000    0.136    0.000 {built-in method posix.stat}
     1583    0.007    0.000    0.125    0.000 project_dependencies.py:46(<genexpr>)
   121752    0.077    0.000    0.120    0.000 pathlib.py:357(__init__)
    17340    0.005    0.000    0.118    0.000 pathlib.py:447(__fspath__)
    42117    0.063    0.000    0.114    0.000 pathlib.py:387(_parse_path)
    39404    0.013    0.000    0.110    0.000 pathlib.py:519(__eq__)
      421    0.005    0.000    0.107    0.000 project_analysis.py:108(owning_root)
    80408    0.033    0.000    0.096    0.000 pathlib.py:484(_str_normcase)
     1280    0.001    0.000    0.063    0.000 {built-in method builtins.next}
      421    0.001    0.000    0.062    0.000 project_analysis.py:120(<genexpr>)
     5810    0.002    0.000    0.059    0.000 project_analysis.py:121(<genexpr>)
     5888    0.003    0.000    0.053    0.000 pathlib.py:872(is_dir)
     5544    0.003    0.000    0.052    0.000 pathlib.py:888(is_file)
379932/239625    0.032    0.000    0.046    0.000 {built-in method builtins.len}
    16089    0.003    0.000    0.045    0.000 pathlib.py:719(__truediv__)
     4649    0.002    0.000    0.043    0.000 pathlib.py:854(exists)
    16089    0.005    0.000    0.041    0.000 pathlib.py:711(joinpath)
   712675    0.041    0.000    0.041    0.000 {built-in method builtins.getattr}
    26764    0.023    0.000    0.039    0.000 <frozen posixpath>:71(join)
   102101    0.021    0.000    0.035    0.000 pathlib.py:429(_format_parsed_parts)
    15981    0.004    0.000    0.034    0.000 pathlib.py:741(parents)


