         156192 function calls (146516 primitive calls) in 0.032 seconds

   Ordered by: cumulative time
   List reduced from 166 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.032    0.032 project_dependencies.py:21(assemble_dependencies)
        1    0.001    0.001    0.032    0.032 project_dependencies.py:29(_assemble_dependencies)
       15    0.000    0.000    0.013    0.001 project_dependencies.py:322(dependency_imports)
  7303/15    0.005    0.000    0.013    0.001 project_dependencies.py:326(visit)
    14347    0.003    0.000    0.007    0.000 ast.py:269(iter_child_nodes)
  136/134    0.000    0.000    0.007    0.000 {built-in method builtins.any}
      110    0.000    0.000    0.006    0.000 pathlib.py:663(relative_to)
     1434    0.000    0.000    0.004    0.000 <frozen _collections_abc>:1022(__iter__)
       15    0.000    0.000    0.004    0.000 ast.py:34(parse)
     1305    0.001    0.000    0.004    0.000 pathlib.py:276(__getitem__)
       38    0.000    0.000    0.004    0.000 project_dependencies.py:46(<genexpr>)
       15    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
     1274    0.001    0.000    0.003    0.000 pathlib.py:437(__str__)
     1121    0.000    0.000    0.003    0.000 pathlib.py:551(drive)
     1693    0.001    0.000    0.003    0.000 pathlib.py:380(with_segments)
      813    0.000    0.000    0.003    0.000 pathlib.py:407(_load_parts)
    49908    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     1127    0.000    0.000    0.003    0.000 pathlib.py:420(_from_parsed_parts)
      224    0.000    0.000    0.003    0.000 <frozen _collections_abc>:1032(__contains__)
     2157    0.001    0.000    0.003    0.000 pathlib.py:1159(__init__)
      641    0.000    0.000    0.003    0.000 pathlib.py:519(__eq__)
      132    0.000    0.000    0.003    0.000 project_dependencies.py:186(<genexpr>)
     1282    0.001    0.000    0.002    0.000 pathlib.py:484(_str_normcase)
    18669    0.002    0.000    0.002    0.000 ast.py:257(iter_fields)
      110    0.000    0.000    0.002    0.000 pathlib.py:690(is_relative_to)
      813    0.001    0.000    0.002    0.000 pathlib.py:387(_parse_path)
     2157    0.001    0.000    0.002    0.000 pathlib.py:357(__init__)
      198    0.000    0.000    0.002    0.000 pathlib.py:837(stat)
      198    0.000    0.000    0.002    0.000 {built-in method posix.stat}
      213    0.000    0.000    0.001    0.000 pathlib.py:447(__fspath__)
       19    0.000    0.000    0.001    0.000 project_analysis.py:30(owns)
      108    0.000    0.000    0.001    0.000 pathlib.py:888(is_file)
       89    0.000    0.000    0.001    0.000 pathlib.py:872(is_dir)
6721/4335    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      353    0.000    0.000    0.001    0.000 pathlib.py:741(parents)
    11647    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      217    0.000    0.000    0.001    0.000 pathlib.py:719(__truediv__)
     1766    0.000    0.000    0.001    0.000 pathlib.py:429(_format_parsed_parts)
      353    0.000    0.000    0.001    0.000 pathlib.py:267(__init__)
      217    0.000    0.000    0.001    0.000 pathlib.py:711(joinpath)
     2157    0.000    0.000    0.001    0.000 pathlib.py:1166(__new__)
      302    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
      813    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
     2496    0.000    0.000    0.000    0.000 pathlib.py:273(__len__)
     3975    0.000    0.000    0.000    0.000 {built-in method sys.intern}


