         10718670 function calls (10107528 primitive calls) in 2.275 seconds

   Ordered by: cumulative time
   List reduced from 307 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.000    2.275    2.275 project_dependencies.py:21(assemble_dependencies)
        1    0.036    0.036    2.235    2.235 project_dependencies.py:29(_assemble_dependencies)
      254    0.000    0.000    0.747    0.003 project_dependencies.py:322(dependency_imports)
430260/254    0.269    0.000    0.746    0.003 project_dependencies.py:326(visit)
10887/10455    0.006    0.000    0.631    0.000 {built-in method builtins.any}
   851017    0.198    0.000    0.394    0.000 ast.py:269(iter_child_nodes)
      979    0.003    0.000    0.371    0.000 project_analysis.py:30(owns)
     5642    0.017    0.000    0.356    0.000 pathlib.py:663(relative_to)
   105394    0.022    0.000    0.338    0.000 <frozen _collections_abc>:1022(__iter__)
   113768    0.051    0.000    0.327    0.000 pathlib.py:437(__str__)
     4333    0.017    0.000    0.324    0.000 project_dependencies.py:46(<genexpr>)
    96372    0.048    0.000    0.316    0.000 pathlib.py:276(__getitem__)
    85028    0.032    0.000    0.295    0.000 pathlib.py:551(drive)
      979    0.011    0.000    0.288    0.000 project_analysis.py:108(owning_root)
      311    0.046    0.000    0.287    0.001 ast.py:34(parse)
    63785    0.036    0.000    0.262    0.000 pathlib.py:407(_load_parts)
   132606    0.055    0.000    0.260    0.000 pathlib.py:380(with_segments)
    13917    0.015    0.000    0.250    0.000 <frozen _collections_abc>:1032(__contains__)
      311    0.241    0.001    0.241    0.001 {built-in method builtins.compile}
27389/27290    0.006    0.000    0.225    0.000 pathlib.py:837(stat)
27389/27290    0.030    0.000    0.220    0.000 {built-in method posix.stat}
    87287    0.030    0.000    0.217    0.000 pathlib.py:420(_from_parsed_parts)
   161676    0.053    0.000    0.209    0.000 pathlib.py:1159(__init__)
    28636    0.008    0.000    0.192    0.000 pathlib.py:447(__fspath__)
  3148037    0.181    0.000    0.181    0.000 {built-in method builtins.isinstance}
    54070    0.018    0.000    0.180    0.000 pathlib.py:519(__eq__)
     2504    0.001    0.000    0.178    0.000 {built-in method builtins.next}
      979    0.002    0.000    0.177    0.000 project_analysis.py:120(<genexpr>)
    63785    0.096    0.000    0.175    0.000 pathlib.py:387(_parse_path)
     5668    0.005    0.000    0.169    0.000 pathlib.py:690(is_relative_to)
    16770    0.006    0.000    0.166    0.000 project_analysis.py:121(<genexpr>)
   112482    0.049    0.000    0.162    0.000 pathlib.py:484(_str_normcase)
   161676    0.099    0.000    0.156    0.000 pathlib.py:357(__init__)
  1110064    0.099    0.000    0.138    0.000 ast.py:257(iter_fields)
     6240    0.008    0.000    0.125    0.000 project_dependencies.py:186(<genexpr>)
    13417    0.006    0.000    0.123    0.000 pathlib.py:854(exists)
    26395    0.005    0.000    0.072    0.000 pathlib.py:719(__truediv__)
     7236    0.003    0.000    0.067    0.000 pathlib.py:888(is_file)
    26395    0.008    0.000    0.067    0.000 pathlib.py:711(joinpath)
506486/326237    0.042    0.000    0.061    0.000 {built-in method builtins.len}
    43463    0.035    0.000    0.058    0.000 <frozen posixpath>:71(join)
   142216    0.029    0.000    0.048    0.000 pathlib.py:429(_format_parsed_parts)
     5738    0.003    0.000    0.047    0.000 pathlib.py:872(is_dir)
      993    0.001    0.000    0.044    0.000 pathlib.py:1230(resolve)
   707423    0.041    0.000    0.041    0.000 {built-in method builtins.getattr}


