         360702 function calls (349539 primitive calls) in 0.110 seconds

   Ordered by: cumulative time
   List reduced from 252 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.110    0.110 project_dependencies.py:20(assemble_dependencies)
        1    0.002    0.002    0.110    0.110 project_dependencies.py:28(_assemble_dependencies)
        1    0.002    0.002    0.054    0.054 project_dependencies.py:357(collect_imports)
       93    0.000    0.000    0.051    0.001 dependency_imports.py:54(read_imports)
       94    0.003    0.000    0.032    0.000 ast.py:34(parse)
       94    0.028    0.000    0.028    0.000 {built-in method builtins.compile}
       93    0.000    0.000    0.018    0.000 dependency_imports.py:11(dependency_imports)
  6156/93    0.007    0.000    0.018    0.000 dependency_imports.py:15(visit)
      276    0.001    0.000    0.016    0.000 pathlib.py:663(relative_to)
       32    0.000    0.000    0.014    0.000 project_dependencies.py:109(requirements)
        1    0.000    0.000    0.012    0.012 project_dependencies.py:235(dependency_files)
     5918    0.002    0.000    0.012    0.000 pathlib.py:380(with_segments)
     4383    0.001    0.000    0.011    0.000 pathlib.py:551(drive)
     5052    0.002    0.000    0.011    0.000 pathlib.py:437(__str__)
     2309    0.001    0.000    0.009    0.000 pathlib.py:407(_load_parts)
     3728    0.001    0.000    0.009    0.000 pathlib.py:420(_from_parsed_parts)
     2942    0.001    0.000    0.009    0.000 <frozen _collections_abc>:1022(__iter__)
      359    0.000    0.000    0.009    0.000 pathlib.py:690(is_relative_to)
     2584    0.001    0.000    0.009    0.000 pathlib.py:276(__getitem__)
    18042    0.004    0.000    0.009    0.000 ast.py:269(iter_child_nodes)
     6216    0.002    0.000    0.008    0.000 pathlib.py:1159(__init__)
     1039    0.000    0.000    0.008    0.000 pathlib.py:837(stat)
     1039    0.001    0.000    0.007    0.000 {built-in method posix.stat}
     1228    0.000    0.000    0.007    0.000 pathlib.py:447(__fspath__)
     2309    0.003    0.000    0.006    0.000 pathlib.py:387(_parse_path)
     6216    0.004    0.000    0.006    0.000 pathlib.py:357(__init__)
     1420    0.001    0.000    0.006    0.000 pathlib.py:731(parent)
      627    0.000    0.000    0.006    0.000 {built-in method builtins.sorted}
    89576    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
       33    0.000    0.000    0.006    0.000 project_dependencies.py:45(<genexpr>)
      358    0.000    0.000    0.005    0.000 <frozen _collections_abc>:1032(__contains__)
     2745    0.001    0.000    0.004    0.000 pathlib.py:519(__eq__)
     6533    0.002    0.000    0.004    0.000 pathlib.py:484(_str_normcase)
       54    0.000    0.000    0.004    0.000 project_analysis.py:30(owns)
       96    0.000    0.000    0.004    0.000 pathlib.py:1230(resolve)
      393    0.000    0.000    0.004    0.000 pathlib.py:888(is_file)
      341    0.000    0.000    0.003    0.000 pathlib.py:872(is_dir)
        1    0.000    0.000    0.003    0.003 text_index.py:379(_walk_rel_files)
     2439    0.002    0.000    0.003    0.000 <frozen posixpath>:71(join)
       96    0.000    0.000    0.003    0.000 <frozen posixpath>:428(realpath)
    19676    0.002    0.000    0.003    0.000 ast.py:257(iter_fields)
      975    0.000    0.000    0.003    0.000 pathlib.py:719(__truediv__)
  300/279    0.000    0.000    0.003    0.000 {built-in method builtins.any}
      975    0.000    0.000    0.002    0.000 pathlib.py:711(joinpath)
      208    0.000    0.000    0.002    0.000 pathlib.py:780(match)


