         479380 function calls (469256 primitive calls) in 0.212 seconds

   Ordered by: cumulative time
   List reduced from 423 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.262    0.052 _base.py:612(result_iterator)
        4    0.000    0.000    0.262    0.066 _base.py:314(_result_or_cancel)
        4    0.000    0.000    0.262    0.066 _base.py:428(result)
       11    0.000    0.000    0.262    0.024 threading.py:323(wait)
        1    0.000    0.000    0.212    0.212 project_dependencies.py:20(assemble_dependencies)
        1    0.007    0.007    0.212    0.212 project_dependencies.py:28(_assemble_dependencies)
        1    0.000    0.000    0.099    0.099 project_dependencies.py:357(collect_imports)
        1    0.000    0.000    0.099    0.099 _base.py:646(__exit__)
        1    0.000    0.000    0.099    0.099 thread.py:219(shutdown)
        4    0.000    0.000    0.099    0.025 threading.py:1115(join)
        4    0.000    0.000    0.099    0.025 threading.py:1153(_wait_for_tstate_lock)
    58/42    0.000    0.000    0.099    0.002 {method 'acquire' of '_thread.lock' objects}
      4/1    0.000    0.000    0.099    0.099 threading.py:1016(_bootstrap)
      4/1    0.000    0.000    0.099    0.099 threading.py:1056(_bootstrap_inner)
      4/1    0.000    0.000    0.099    0.099 threading.py:999(run)
      4/1    0.000    0.000    0.099    0.099 thread.py:69(_worker)
      4/1    0.000    0.000    0.099    0.099 {method 'get' of '_queue.SimpleQueue' objects}
      4/1    0.000    0.000    0.098    0.098 thread.py:53(run)
      4/1    0.001    0.000    0.098    0.098 project_dependencies.py:369(parse_batch)
      519    0.002    0.000    0.034    0.000 pathlib.py:663(relative_to)
    12714    0.005    0.000    0.025    0.000 pathlib.py:380(with_segments)
     8932    0.003    0.000    0.023    0.000 pathlib.py:420(_from_parsed_parts)
        1    0.001    0.001    0.021    0.021 project_dependencies.py:235(dependency_files)
     9503    0.002    0.000    0.019    0.000 pathlib.py:551(drive)
     5789    0.001    0.000    0.019    0.000 <frozen _collections_abc>:1022(__iter__)
     5187    0.003    0.000    0.018    0.000 pathlib.py:276(__getitem__)
      603    0.001    0.000    0.018    0.000 pathlib.py:690(is_relative_to)
    13010    0.004    0.000    0.017    0.000 pathlib.py:1159(__init__)
    12245    0.003    0.000    0.017    0.000 pathlib.py:437(__str__)
     3871    0.002    0.000    0.017    0.000 pathlib.py:407(_load_parts)
     4264    0.002    0.000    0.017    0.000 pathlib.py:731(parent)
     1712    0.000    0.000    0.013    0.000 pathlib.py:837(stat)
    13010    0.008    0.000    0.013    0.000 pathlib.py:357(__init__)
     1712    0.002    0.000    0.013    0.000 {built-in method posix.stat}
      4/1    0.000    0.000    0.012    0.012 subprocess.py:506(run)
      4/1    0.000    0.000    0.012    0.012 subprocess.py:1165(communicate)
      4/1    0.000    0.000    0.012    0.012 subprocess.py:2062(_communicate)
     22/6    0.000    0.000    0.012    0.002 selectors.py:402(select)
     22/6    0.093    0.004    0.012    0.002 {method 'poll' of 'select.poll' objects}
      602    0.001    0.000    0.011    0.000 <frozen _collections_abc>:1032(__contains__)
     3871    0.006    0.000    0.011    0.000 pathlib.py:387(_parse_path)
     1742    0.001    0.000    0.011    0.000 pathlib.py:447(__fspath__)
        8    0.000    0.000    0.011    0.001 project_dependencies.py:109(requirements)
     8623    0.003    0.000    0.009    0.000 pathlib.py:519(__eq__)
    20861    0.005    0.000    0.009    0.000 pathlib.py:484(_str_normcase)


