         793821 function calls (776893 primitive calls) in 0.297 seconds

   Ordered by: cumulative time
   List reduced from 452 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.279    0.056 _base.py:612(result_iterator)
        4    0.000    0.000    0.279    0.070 _base.py:314(_result_or_cancel)
        4    0.000    0.000    0.279    0.070 _base.py:428(result)
       11    0.000    0.000    0.279    0.025 threading.py:323(wait)
        1    0.000    0.000    0.108    0.108 project_dependencies.py:357(collect_imports)
        1    0.000    0.000    0.108    0.108 _base.py:646(__exit__)
        1    0.000    0.000    0.108    0.108 thread.py:219(shutdown)
        4    0.000    0.000    0.108    0.027 threading.py:1115(join)
    58/42    0.000    0.000    0.108    0.003 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    0.108    0.027 threading.py:1153(_wait_for_tstate_lock)
      4/1    0.000    0.000    0.108    0.108 threading.py:1016(_bootstrap)
      4/1    0.000    0.000    0.108    0.108 threading.py:1056(_bootstrap_inner)
      4/1    0.000    0.000    0.108    0.108 threading.py:999(run)
      4/1    0.000    0.000    0.108    0.108 thread.py:69(_worker)
      4/1    0.000    0.000    0.108    0.108 {method 'get' of '_queue.SimpleQueue' objects}
      4/1    0.000    0.000    0.107    0.107 thread.py:53(run)
      4/1    0.001    0.000    0.107    0.107 project_dependencies.py:369(parse_batch)
      826    0.003    0.000    0.054    0.000 pathlib.py:663(relative_to)
    20026    0.009    0.000    0.040    0.000 pathlib.py:380(with_segments)
        1    0.001    0.001    0.037    0.037 project_dependencies.py:235(dependency_files)
    14142    0.005    0.000    0.036    0.000 pathlib.py:420(_from_parsed_parts)
      2/1    0.001    0.000    0.032    0.032 project_dependencies.py:20(assemble_dependencies)
      2/1    0.013    0.006    0.031    0.031 project_dependencies.py:28(_assemble_dependencies)
     9130    0.002    0.000    0.030    0.000 <frozen _collections_abc>:1022(__iter__)
    15102    0.004    0.000    0.030    0.000 pathlib.py:551(drive)
     8184    0.004    0.000    0.028    0.000 pathlib.py:276(__getitem__)
      947    0.001    0.000    0.028    0.000 pathlib.py:690(is_relative_to)
     6784    0.004    0.000    0.027    0.000 pathlib.py:731(parent)
    20634    0.007    0.000    0.027    0.000 pathlib.py:1159(__init__)
     6036    0.004    0.000    0.026    0.000 pathlib.py:407(_load_parts)
    20473    0.005    0.000    0.025    0.000 pathlib.py:437(__str__)
    55/28    0.000    0.000    0.022    0.001 project_dependencies.py:109(requirements)
    20634    0.013    0.000    0.021    0.000 pathlib.py:357(__init__)
      4/1    0.000    0.000    0.019    0.019 subprocess.py:506(run)
      4/1    0.000    0.000    0.019    0.019 subprocess.py:1165(communicate)
      4/1    0.000    0.000    0.019    0.019 subprocess.py:2062(_communicate)
    36/10    0.000    0.000    0.019    0.002 selectors.py:402(select)
    36/10    0.101    0.003    0.019    0.002 {method 'poll' of 'select.poll' objects}
      946    0.001    0.000    0.018    0.000 <frozen _collections_abc>:1032(__contains__)
     6036    0.009    0.000    0.017    0.000 pathlib.py:387(_parse_path)
    15717    0.005    0.000    0.016    0.000 pathlib.py:519(__eq__)
     4876    0.001    0.000    0.014    0.000 {built-in method builtins.sorted}
    37772    0.008    0.000    0.014    0.000 pathlib.py:484(_str_normcase)
     2556    0.001    0.000    0.014    0.000 pathlib.py:447(__fspath__)
2438/2032    0.000    0.000    0.014    0.000 pathlib.py:837(stat)


