         580999 function calls (572592 primitive calls) in 0.245 seconds

   Ordered by: cumulative time
   List reduced from 441 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.282    0.056 _base.py:612(result_iterator)
       11    0.000    0.000    0.282    0.026 threading.py:323(wait)
        4    0.000    0.000    0.282    0.070 _base.py:314(_result_or_cancel)
        4    0.000    0.000    0.282    0.070 _base.py:428(result)
        1    0.000    0.000    0.245    0.245 project_dependencies.py:20(assemble_dependencies)
        1    0.007    0.007    0.244    0.244 project_dependencies.py:28(_assemble_dependencies)
        4    0.000    0.000    0.197    0.049 threading.py:1115(join)
        4    0.000    0.000    0.197    0.049 threading.py:1153(_wait_for_tstate_lock)
    58/42    0.000    0.000    0.197    0.005 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.099    0.099 project_dependencies.py:357(collect_imports)
        1    0.000    0.000    0.099    0.099 _base.py:646(__exit__)
        1    0.000    0.000    0.099    0.099 thread.py:219(shutdown)
      4/1    0.000    0.000    0.099    0.099 threading.py:1016(_bootstrap)
      4/1    0.000    0.000    0.099    0.099 threading.py:1056(_bootstrap_inner)
      4/1    0.000    0.000    0.098    0.098 threading.py:999(run)
      4/1    0.000    0.000    0.098    0.098 thread.py:69(_worker)
      4/1    0.000    0.000    0.098    0.098 {method 'get' of '_queue.SimpleQueue' objects}
      4/1    0.000    0.000    0.098    0.098 thread.py:53(run)
      4/1    0.000    0.000    0.098    0.098 project_dependencies.py:369(parse_batch)
        1    0.001    0.001    0.057    0.057 project_dependencies.py:235(dependency_files)
    11487    0.003    0.000    0.034    0.000 pathlib.py:551(drive)
     4746    0.002    0.000    0.031    0.000 pathlib.py:731(parent)
     5085    0.003    0.000    0.031    0.000 pathlib.py:407(_load_parts)
      426    0.001    0.000    0.028    0.000 pathlib.py:663(relative_to)
    13427    0.006    0.000    0.027    0.000 pathlib.py:380(with_segments)
     8492    0.003    0.000    0.023    0.000 pathlib.py:420(_from_parsed_parts)
    13448    0.004    0.000    0.022    0.000 pathlib.py:437(__str__)
    13896    0.005    0.000    0.018    0.000 pathlib.py:1159(__init__)
     2648    0.001    0.000    0.018    0.000 pathlib.py:837(stat)
     2648    0.003    0.000    0.018    0.000 {built-in method posix.stat}
     5293    0.013    0.000    0.016    0.000 <frozen posixpath>:71(join)
     4623    0.001    0.000    0.015    0.000 <frozen _collections_abc>:1022(__iter__)
     2666    0.001    0.000    0.014    0.000 pathlib.py:447(__fspath__)
     5085    0.007    0.000    0.014    0.000 pathlib.py:387(_parse_path)
     4172    0.002    0.000    0.014    0.000 pathlib.py:276(__getitem__)
      452    0.000    0.000    0.014    0.000 pathlib.py:690(is_relative_to)
    13896    0.009    0.000    0.014    0.000 pathlib.py:357(__init__)
     2407    0.000    0.000    0.013    0.000 {built-in method builtins.sorted}
        1    0.001    0.001    0.013    0.013 text_index.py:379(_walk_rel_files)
        5    0.000    0.000    0.013    0.003 project_dependencies.py:45(<genexpr>)
      135    0.000    0.000    0.011    0.000 project_analysis.py:30(owns)
      979    0.001    0.000    0.011    0.000 pathlib.py:780(match)
      451    0.001    0.000    0.009    0.000 <frozen _collections_abc>:1032(__contains__)
     9231    0.003    0.000    0.009    0.000 pathlib.py:519(__eq__)
      890    0.000    0.000    0.008    0.000 pathlib.py:888(is_file)


