         23053 function calls (22589 primitive calls) in 0.009 seconds

   Ordered by: cumulative time
   List reduced from 182 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 project_dependencies.py:20(assemble_dependencies)
        1    0.000    0.000    0.009    0.009 project_dependencies.py:28(_assemble_dependencies)
        1    0.000    0.000    0.004    0.004 project_dependencies.py:357(collect_imports)
       15    0.000    0.000    0.004    0.000 dependency_imports.py:328(read_imports)
       15    0.000    0.000    0.004    0.000 dependency_imports.py:292(dependency_imports)
       15    0.000    0.000    0.004    0.000 dependency_imports.py:227(parse_suites)
      491    0.003    0.000    0.003    0.000 dependency_imports.py:29(logical_lines)
        1    0.000    0.000    0.001    0.001 project_dependencies.py:235(dependency_files)
       20    0.000    0.000    0.001    0.000 pathlib.py:663(relative_to)
      375    0.000    0.000    0.001    0.000 pathlib.py:551(drive)
      368    0.000    0.000    0.001    0.000 pathlib.py:437(__str__)
      457    0.000    0.000    0.001    0.000 pathlib.py:380(with_segments)
      117    0.000    0.000    0.001    0.000 pathlib.py:837(stat)
      117    0.000    0.000    0.001    0.000 {built-in method posix.stat}
      202    0.000    0.000    0.001    0.000 pathlib.py:407(_load_parts)
      132    0.000    0.000    0.001    0.000 pathlib.py:447(__fspath__)
      261    0.000    0.000    0.001    0.000 pathlib.py:420(_from_parsed_parts)
      500    0.000    0.000    0.001    0.000 pathlib.py:1159(__init__)
      174    0.000    0.000    0.001    0.000 <frozen _collections_abc>:1022(__iter__)
       66    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      126    0.000    0.000    0.001    0.000 pathlib.py:731(parent)
      155    0.000    0.000    0.001    0.000 pathlib.py:276(__getitem__)
      202    0.000    0.000    0.001    0.000 pathlib.py:387(_parse_path)
       35    0.000    0.000    0.001    0.000 project_dependencies.py:191(<genexpr>)
      500    0.000    0.000    0.000    0.000 pathlib.py:357(__init__)
       51    0.000    0.000    0.000    0.000 pathlib.py:888(is_file)
       20    0.000    0.000    0.000    0.000 pathlib.py:690(is_relative_to)
       46    0.000    0.000    0.000    0.000 pathlib.py:872(is_dir)
        5    0.000    0.000    0.000    0.000 project_analysis.py:30(owns)
        1    0.000    0.000    0.000    0.000 text_index.py:379(_walk_rel_files)
      117    0.000    0.000    0.000    0.000 pathlib.py:719(__truediv__)
      117    0.000    0.000    0.000    0.000 pathlib.py:711(joinpath)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       47    0.000    0.000    0.000    0.000 dependency_imports.py:232(simple)
      260    0.000    0.000    0.000    0.000 dependency_imports.py:79(top_level)
      396    0.000    0.000    0.000    0.000 pathlib.py:484(_str_normcase)
        1    0.000    0.000    0.000    0.000 project_dependencies.py:45(<genexpr>)
      181    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      155    0.000    0.000    0.000    0.000 pathlib.py:519(__eq__)
       19    0.000    0.000    0.000    0.000 pathlib.py:780(match)
      174    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
   184/15    0.000    0.000    0.000    0.000 dependency_imports.py:300(visit)
       19    0.000    0.000    0.000    0.000 <frozen _collections_abc>:1032(__contains__)
     2457    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     2333    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}


