         320825 function calls (314297 primitive calls) in 0.190 seconds

   Ordered by: cumulative time
   List reduced from 400 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.230    0.057 threading.py:1115(join)
        4    0.000    0.000    0.230    0.057 threading.py:1153(_wait_for_tstate_lock)
    56/40    0.000    0.000    0.230    0.006 {method 'acquire' of '_thread.lock' objects}
       10    0.000    0.000    0.217    0.022 threading.py:323(wait)
        5    0.000    0.000    0.217    0.043 _base.py:612(result_iterator)
        4    0.000    0.000    0.217    0.054 _base.py:314(_result_or_cancel)
        4    0.000    0.000    0.217    0.054 _base.py:428(result)
        1    0.000    0.000    0.190    0.190 project_dependencies.py:20(assemble_dependencies)
        1    0.006    0.006    0.190    0.190 project_dependencies.py:28(_assemble_dependencies)
        1    0.000    0.000    0.115    0.115 project_dependencies.py:357(collect_imports)
        1    0.000    0.000    0.115    0.115 _base.py:646(__exit__)
        1    0.000    0.000    0.115    0.115 thread.py:219(shutdown)
      4/1    0.000    0.000    0.115    0.115 threading.py:1016(_bootstrap)
      4/1    0.000    0.000    0.115    0.115 threading.py:1056(_bootstrap_inner)
      4/1    0.000    0.000    0.115    0.115 threading.py:999(run)
      4/1    0.000    0.000    0.115    0.115 thread.py:69(_worker)
      4/1    0.000    0.000    0.115    0.115 {method 'get' of '_queue.SimpleQueue' objects}
      4/1    0.000    0.000    0.114    0.114 thread.py:53(run)
      4/1    0.001    0.000    0.114    0.114 project_dependencies.py:369(parse_batch)
      379    0.001    0.000    0.023    0.000 pathlib.py:663(relative_to)
     8210    0.003    0.000    0.016    0.000 pathlib.py:380(with_segments)
     5716    0.002    0.000    0.014    0.000 pathlib.py:420(_from_parsed_parts)
        1    0.001    0.001    0.014    0.014 project_dependencies.py:235(dependency_files)
     6310    0.002    0.000    0.013    0.000 pathlib.py:551(drive)
     3757    0.001    0.000    0.012    0.000 <frozen _collections_abc>:1022(__iter__)
     2524    0.001    0.000    0.011    0.000 pathlib.py:407(_load_parts)
     3368    0.002    0.000    0.011    0.000 pathlib.py:276(__getitem__)
     2727    0.001    0.000    0.011    0.000 pathlib.py:731(parent)
     8390    0.003    0.000    0.011    0.000 pathlib.py:1159(__init__)
      4/1    0.000    0.000    0.010    0.010 subprocess.py:506(run)
      4/1    0.000    0.000    0.010    0.010 subprocess.py:1165(communicate)
      4/1    0.000    0.000    0.010    0.010 subprocess.py:2062(_communicate)
     20/5    0.000    0.000    0.010    0.002 selectors.py:402(select)
     20/5    0.110    0.005    0.010    0.002 {method 'poll' of 'select.poll' objects}
      390    0.000    0.000    0.010    0.000 pathlib.py:690(is_relative_to)
     8110    0.002    0.000    0.010    0.000 pathlib.py:437(__str__)
     8390    0.005    0.000    0.008    0.000 pathlib.py:357(__init__)
     2524    0.004    0.000    0.008    0.000 pathlib.py:387(_parse_path)
     1899    0.000    0.000    0.007    0.000 {built-in method builtins.sorted}
      982    0.000    0.000    0.007    0.000 pathlib.py:837(stat)
      982    0.001    0.000    0.006    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.006    0.002 project_dependencies.py:45(<genexpr>)
      389    0.000    0.000    0.006    0.000 <frozen _collections_abc>:1032(__contains__)
     6219    0.002    0.000    0.006    0.000 pathlib.py:519(__eq__)
    15039    0.003    0.000    0.006    0.000 pathlib.py:484(_str_normcase)


