         793808 function calls (777649 primitive calls) in 0.274 seconds

   Ordered by: cumulative time
   List reduced from 453 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.001    0.274    0.274 project_dependencies.py:20(assemble_dependencies)
        1    0.013    0.013    0.200    0.200 project_dependencies.py:28(_assemble_dependencies)
        4    0.000    0.000    0.174    0.043 threading.py:1115(join)
    56/40    0.000    0.000    0.174    0.004 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    0.174    0.043 threading.py:1153(_wait_for_tstate_lock)
       10    0.000    0.000    0.164    0.016 threading.py:323(wait)
        5    0.000    0.000    0.164    0.033 _base.py:612(result_iterator)
        4    0.000    0.000    0.164    0.041 _base.py:314(_result_or_cancel)
        4    0.000    0.000    0.164    0.041 _base.py:428(result)
        1    0.000    0.000    0.087    0.087 project_dependencies.py:357(collect_imports)
        1    0.000    0.000    0.087    0.087 _base.py:646(__exit__)
        1    0.000    0.000    0.087    0.087 thread.py:219(shutdown)
      4/1    0.000    0.000    0.087    0.087 threading.py:1016(_bootstrap)
      4/1    0.000    0.000    0.087    0.087 threading.py:1056(_bootstrap_inner)
      4/1    0.000    0.000    0.087    0.087 threading.py:999(run)
      4/1    0.000    0.000    0.087    0.087 thread.py:69(_worker)
      4/1    0.000    0.000    0.087    0.087 {method 'get' of '_queue.SimpleQueue' objects}
      4/1    0.000    0.000    0.086    0.086 thread.py:53(run)
      4/1    0.001    0.000    0.086    0.086 project_dependencies.py:369(parse_batch)
      826    0.003    0.000    0.053    0.000 pathlib.py:663(relative_to)
    20026    0.008    0.000    0.039    0.000 pathlib.py:380(with_segments)
        1    0.001    0.001    0.037    0.037 project_dependencies.py:235(dependency_files)
    14142    0.005    0.000    0.036    0.000 pathlib.py:420(_from_parsed_parts)
    15102    0.004    0.000    0.030    0.000 pathlib.py:551(drive)
     9130    0.002    0.000    0.030    0.000 <frozen _collections_abc>:1022(__iter__)
      947    0.001    0.000    0.028    0.000 pathlib.py:690(is_relative_to)
     8184    0.004    0.000    0.028    0.000 pathlib.py:276(__getitem__)
     6784    0.004    0.000    0.028    0.000 pathlib.py:731(parent)
     6036    0.004    0.000    0.026    0.000 pathlib.py:407(_load_parts)
    20634    0.007    0.000    0.026    0.000 pathlib.py:1159(__init__)
    20473    0.005    0.000    0.025    0.000 pathlib.py:437(__str__)
    55/28    0.000    0.000    0.021    0.001 project_dependencies.py:109(requirements)
    20634    0.013    0.000    0.020    0.000 pathlib.py:357(__init__)
      946    0.001    0.000    0.018    0.000 <frozen _collections_abc>:1032(__contains__)
     2439    0.000    0.000    0.017    0.000 pathlib.py:837(stat)
     6036    0.009    0.000    0.017    0.000 pathlib.py:387(_parse_path)
     2439    0.003    0.000    0.017    0.000 {built-in method posix.stat}
    15717    0.005    0.000    0.016    0.000 pathlib.py:519(__eq__)
    37772    0.008    0.000    0.014    0.000 pathlib.py:484(_str_normcase)
     2556    0.001    0.000    0.014    0.000 pathlib.py:447(__fspath__)
     4876    0.001    0.000    0.014    0.000 {built-in method builtins.sorted}
       29    0.000    0.000    0.013    0.000 project_dependencies.py:45(<genexpr>)
        1    0.001    0.001    0.010    0.010 text_index.py:379(_walk_rel_files)
    16627    0.004    0.000    0.009    0.000 pathlib.py:524(__hash__)
      792    0.001    0.000    0.009    0.000 pathlib.py:780(match)


