Mon Sep 14 23:22:09 2026    profiles/text-input/typing_profile.prof

         20678276 function calls (20515156 primitive calls) in 6.889 seconds

   Ordered by: cumulative time
   List reduced from 2137 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   113/76    0.005    0.000    3.276    0.043 /home/lukas/Desktop/melty_code_editor/editor.py:234(editor)
   114/94    0.012    0.000    2.875    0.031 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/playground/open_files.py:3219(_draw_code_editor_body)
      114    0.145    0.001    2.257    0.020 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:9715(draw_text)
   113/29    0.014    0.000    1.657    0.057 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/playground/open_files.py:4780(draw_code_editor)
   122/22    0.004    0.000    1.305    0.059 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/melty.py:3528(draw)
75175/575    0.096    0.000    0.907    0.002 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:205(_visit)
  1093/50    0.055    0.000    0.854    0.017 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/core_render.py:5443(draw_inner_main)
  431/371    0.000    0.000    0.795    0.002 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:238(_v_FunctionDef)
  284/108    0.023    0.000    0.763    0.007 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/geometry_feed.py:260(hypr_request)
   111/14    0.050    0.000    0.718    0.051 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/melty.py:3879(end_frame)
      114    0.003    0.000    0.718    0.006 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:6592(_def_tints)
   242698    0.426    0.000    0.639    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:8719(_guide_code_part)
    48/43    0.010    0.000    0.602    0.014 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/notifications.py:180(wrapper)
  449/371    0.011    0.000    0.558    0.002 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:214(_function)
       21    0.002    0.000    0.531    0.025 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:1736(collect_import_suggestions)
      114    0.002    0.000    0.497    0.004 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:1180(_fim_poll)
   226/52    0.025    0.000    0.478    0.009 /usr/lib/python3.12/threading.py:323(wait)
      291    0.037    0.000    0.470    0.002 /usr/lib/python3.12/socket.py:496(_real_close)
   269/22    0.028    0.000    0.465    0.021 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/geometry_feed.py:335(_hypr_poll_windows)
      114    0.006    0.000    0.463    0.004 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/fim.py:847(poll)
       39    0.072    0.002    0.462    0.012 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:8763(_scope_guide_segments)
  482/472    0.006    0.000    0.450    0.001 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/utils/glfw_utils.py:1296(request_render)
        3    0.000    0.000    0.439    0.146 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:180(run)
    758/3    0.001    0.000    0.439    0.146 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:201(_body)
       94    0.001    0.000    0.423    0.005 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/fim.py:973(_fire_armed)
      337    0.014    0.000    0.411    0.001 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/fim_context.py:283(definition_source)
  2123/26    0.200    0.000    0.409    0.016 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/core_render.py:729(wrapper)
     1368    0.005    0.000    0.390    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:655(table_for)
      290    0.049    0.000    0.389    0.001 /usr/lib/python3.12/socket.py:221(__init__)
      114    0.006    0.000    0.382    0.003 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:784(sweep)
   233/34    0.009    0.000    0.357    0.010 /usr/lib/python3.12/threading.py:637(wait)
      290    0.061    0.000    0.354    0.001 {method 'sendall' of '_socket.socket' objects}
     1713    0.004    0.000    0.352    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:973(resolve_prefixes)
5978/4940    0.006    0.000    0.350    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:391(_v_Call)
   112/59    0.002    0.000    0.348    0.006 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/titlebar.py:749(draw_titlebar)
       21    0.045    0.002    0.348    0.017 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:215(extract_table)
       21    0.002    0.000    0.340    0.016 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:1776(_incremental_scan)
      114    0.008    0.000    0.338    0.003 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:3957(_draw_cst_token_views)
       21    0.000    0.000    0.327    0.016 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:1660(_scan_slice)
  500/484    0.019    0.000    0.307    0.001 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/window_backends/native_wayland.py:541(post_empty_event)
    28655    0.281    0.000    0.281    0.000 {method 'split' of 'str' objects}
 2505/930    0.003    0.000    0.280    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/titlebar.py:1154(_on_hyprland)
2736/1016    0.002    0.000    0.279    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/geometry_feed.py:154(backend)
     1384    0.003    0.000    0.274    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:748(_pending_table)
       15    0.001    0.000    0.265    0.018 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/fim.py:924(_refresh_context)
       15    0.002    0.000    0.260    0.017 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/fim.py:1187(assemble_context)
       13    0.006    0.000    0.253    0.019 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:248(_completion_pool)
       37    0.008    0.000    0.249    0.007 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/new_converters.py:710(_common_indent)
        2    0.000    0.000    0.249    0.124 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/roster_tints.py:52(collect_def_tints)
        2    0.001    0.001    0.247    0.123 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/roster_tints.py:145(_collect)
     2140    0.008    0.000    0.236    0.000 /usr/lib/python3.12/pathlib.py:1230(resolve)
     1741    0.003    0.000    0.215    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:842(_norm)
       95    0.106    0.001    0.205    0.002 {method 'sub' of 're.Pattern' objects}
    13533    0.081    0.000    0.198    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:7527(_line_starts)
      291    0.042    0.000    0.186    0.001 {function socket.close at 0x761720b6e0c0}
4119578/4104525    0.177    0.000    0.179    0.000 {built-in method builtins.len}
     6531    0.004    0.000    0.170    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:169(_scan_tint)
        6    0.002    0.000    0.163    0.027 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:1088(_module_text_binds)
       23    0.007    0.000    0.162    0.007 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:94(__init__)
      114    0.012    0.000    0.160    0.001 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/melty.py:2347(begin_frame)
   184327    0.121    0.000    0.159    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/decoration/invalidation_decoration.py:26(new_setattr)
       13    0.004    0.000    0.158    0.012 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:125(_strip_comments)
       26    0.002    0.000    0.156    0.006 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/render_host.py:248(_typing_wake)
      114    0.005    0.000    0.154    0.001 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/playground/fast_file_explorer.py:1027(draw_shortcuts)
      228    0.007    0.000    0.151    0.001 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:11015(_window)
2836/2834    0.022    0.000    0.151    0.000 <frozen posixpath>:437(_joinrealpath)
      114    0.000    0.000    0.149    0.001 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:11185(_get_vcols)
   476976    0.148    0.000    0.148    0.000 {method 'match' of 're.Pattern' objects}
      592    0.136    0.000    0.136    0.000 {built-in method builtins.compile}
       23    0.000    0.000    0.135    0.006 /usr/lib/python3.12/re/__init__.py:179(sub)
       21    0.004    0.000    0.125    0.006 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:4452(_resolve_def_tints)
       50    0.002    0.000    0.122    0.002 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/new_converters.py:2057(code_file_io)
  1318824    0.121    0.000    0.121    0.000 {method 'startswith' of 'str' objects}
     99/4    0.009    0.000    0.121    0.030 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/melty.py:4643(post_frame)
  2170961    0.120    0.000    0.120    0.000 {method 'append' of 'list' objects}
3240/3234    0.002    0.000    0.120    0.000 /usr/lib/python3.12/pathlib.py:837(stat)
    116/1    0.007    0.000    0.116    0.116 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/surface.py:346(frame)
   115648    0.032    0.000    0.115    0.000 /usr/lib/python3.12/ast.py:269(iter_child_nodes)
       20    0.000    0.000    0.113    0.006 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/render_host.py:474(__setitem__)
       20    0.000    0.000    0.112    0.006 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/render_host.py:432(_mark_changed)
   290/28    0.025    0.000    0.111    0.004 /usr/lib/python3.12/socket.py:500(close)
     1658    0.021    0.000    0.111    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:5062(_scan_def_tint_lines)
       20    0.006    0.000    0.110    0.006 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/new_converters.py:980(_region_compile_check)
      322    0.001    0.000    0.110    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:638(file_text)
       71    0.021    0.000    0.110    0.002 /usr/lib/python3.12/textwrap.py:419(dedent)
      321    0.109    0.000    0.109    0.000 {method 'findall' of 're.Pattern' objects}
       20    0.031    0.002    0.109    0.005 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:9372(_fold_build)
   288/92    0.066    0.000    0.108    0.001 {method 'connect' of '_socket.socket' objects}
679790/678634    0.088    0.000    0.108    0.000 {built-in method builtins.getattr}
  695/693    0.001    0.000    0.107    0.000 /usr/lib/python3.12/inspect.py:969(getabsfile)


Mon Sep 14 23:22:09 2026    profiles/text-input/typing_profile.prof

         20678276 function calls (20515156 primitive calls) in 6.889 seconds

   Ordered by: internal time
   List reduced from 2137 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   242698    0.426    0.000    0.639    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:8719(_guide_code_part)
    28655    0.281    0.000    0.281    0.000 {method 'split' of 'str' objects}
  2123/26    0.200    0.000    0.409    0.016 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/core_render.py:729(wrapper)
4119578/4104525    0.177    0.000    0.179    0.000 {built-in method builtins.len}
   476976    0.148    0.000    0.148    0.000 {method 'match' of 're.Pattern' objects}
      114    0.145    0.001    2.257    0.020 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:9715(draw_text)
      592    0.136    0.000    0.136    0.000 {built-in method builtins.compile}
  1318824    0.121    0.000    0.121    0.000 {method 'startswith' of 'str' objects}
   184327    0.121    0.000    0.159    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/decoration/invalidation_decoration.py:26(new_setattr)
  2170961    0.120    0.000    0.120    0.000 {method 'append' of 'list' objects}
      321    0.109    0.000    0.109    0.000 {method 'findall' of 're.Pattern' objects}
       95    0.106    0.001    0.205    0.002 {method 'sub' of 're.Pattern' objects}
   886848    0.102    0.000    0.102    0.000 {method 'find' of 'str' objects}
75175/575    0.096    0.000    0.907    0.002 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/code_checks.py:205(_visit)
    39843    0.089    0.000    0.089    0.000 {method 'count' of 'str' objects}
   817216    0.088    0.000    0.093    0.000 {method 'get' of 'dict' objects}
679790/678634    0.088    0.000    0.108    0.000 {built-in method builtins.getattr}
   397/10    0.084    0.000    0.028    0.003 {built-in method time.sleep}
    13533    0.081    0.000    0.198    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:7527(_line_starts)
   580/29    0.074    0.000    0.013    0.000 {method 'recv' of '_socket.socket' objects}
       39    0.072    0.002    0.462    0.012 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:8763(_scope_guide_segments)
   288/92    0.066    0.000    0.108    0.001 {method 'connect' of '_socket.socket' objects}
940052/936286    0.066    0.000    0.072    0.000 {built-in method builtins.isinstance}
   786981    0.061    0.000    0.061    0.000 {method 'strip' of 'str' objects}
      290    0.061    0.000    0.354    0.001 {method 'sendall' of '_socket.socket' objects}
  1093/50    0.055    0.000    0.854    0.017 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/core_render.py:5443(draw_inner_main)
   600092    0.051    0.000    0.051    0.000 {method 'lstrip' of 'str' objects}
   111/14    0.050    0.000    0.718    0.051 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/melty.py:3879(end_frame)
      290    0.049    0.000    0.389    0.001 /usr/lib/python3.12/socket.py:221(__init__)
   113/10    0.046    0.000    0.020    0.002 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/blit_offscreen.py:4756(finalize_captures)
      339    0.045    0.000    0.045    0.000 {method 'splitlines' of 'str' objects}
       21    0.045    0.002    0.348    0.017 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_conversion/symbol_roster.py:215(extract_table)
   105776    0.044    0.000    0.082    0.000 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/window_api.py:50(__getattr__)
       20    0.042    0.002    0.055    0.003 /home/lukas/Desktop/latent-descent/src/lsd/gl_gui/view/core_views/text_editor.py:9330(_fold_normalize_union)
      291    0.042    0.000    0.186    0.001 {function socket.close at 0x761720b6e0c0}
   209683    0.040    0.000    0.040    0.000 {built-in method builtins.max}
      291    0.037    0.000    0.470    0.002 /usr/lib/python3.12/socket.py:496(_real_close)
   553555    0.035    0.000    0.035    0.000 {method 'rstrip' of 'str' objects}
